type,title,cast,date_added,rating,listed_in,country_parsed
0,196,5990,1,8,329,75
1,197,-1,1,6,222,21
0,198,773,1,8,303,76
0,199,3787,1,5,305,76
0,200,6152,1,6,260,75
0,201,3387,1,9,135,76
1,202,2185,1,6,367,6
0,203,1091,1,8,205,67
0,204,5456,1,2,448,9
0,205,3051,1,8,358,28
0,206,3020,1,8,312,52
0,207,-1,1,6,270,76
0,208,3739,1,4,309,30
1,209,4658,1,9,411,76
0,210,4359,1,5,199,76
0,211,3246,1,0,117,75
0,212,4462,1,6,64,35
0,213,1339,1,5,303,76
0,214,1033,1,6,315,0
0,215,3680,1,9,301,76
0,216,3447,1,6,293,76
0,217,1756,1,10,117,76
0,218,6658,1,8,302,70
1,219,6145,1,8,394,70
0,220,4613,1,4,309,32
0,221,-1,1,9,266,76
0,222,4169,1,5,217,76
1,223,1303,1,6,394,70
0,224,1742,1,4,176,76
1,225,6588,1,8,394,70
0,226,2379,1,10,113,48
0,227,751,1,8,205,46
0,242,5238,1,11,113,28
0,228,632,1,8,309,77
0,229,792,1,7,424,76
0,230,885,1,6,214,76
1,231,2435,1,8,391,19
0,232,3022,1,7,352,52
0,233,4052,1,3,322,76
0,234,641,1,8,36,28
0,235,-1,1,6,260,76
0,236,4440,1,9,63,35
0,237,4516,1,3,113,9
0,238,6026,1,3,113,76
1,239,5693,1,9,278,76
0,240,5896,1,8,302,61
1,243,3159,1,6,475,76
1,244,2344,1,6,74,35
0,245,1560,1,8,330,9
0,246,298,1,3,10,76
0,632,4272,1,8,312,72
0,259,2759,1,8,205,28
0,260,5866,1,6,207,28
0,261,5498,1,9,188,28
0,262,6520,1,6,48,28
0,263,2497,1,9,302,28
0,264,5139,1,6,358,28
0,265,4562,1,6,315,28
0,266,414,1,6,309,28
0,267,2995,1,6,309,28
0,268,5518,1,6,311,28
0,269,5626,1,6,188,28
0,270,5206,1,6,338,28
1,271,3971,1,10,403,76
0,272,66,1,9,188,28
0,247,5031,1,6,311,28
0,248,5030,1,6,309,28
0,273,4483,1,8,36,17
0,274,-1,1,6,260,76
0,275,5525,1,6,309,49
0,276,6138,1,6,209,28
1,277,2452,1,9,362,65
0,278,2525,1,11,117,76
0,280,4678,1,4,188,75
0,279,1670,1,5,188,75
1,281,1280,1,6,275,76
1,282,151,1,9,286,76
1,283,4884,1,6,225,65
0,284,1934,1,8,309,0
0,285,4901,1,8,188,42
0,286,3870,1,8,358,25
1,287,3217,1,6,375,11
0,288,820,1,9,293,76
0,289,5649,1,8,328,9
0,290,1945,1,4,319,76
0,291,3469,1,5,0,76
0,292,2290,1,2,48,72
0,293,226,1,9,121,28
0,294,624,1,5,48,7
0,295,1334,1,5,0,9
1,296,6750,1,8,231,19
0,309,3917,1,8,309,67
0,297,72,1,8,448,76
1,298,69,1,6,464,76
0,249,78,1,8,448,76
0,299,1445,1,8,293,76
0,300,610,1,6,31,19
0,301,107,1,8,448,76
0,302,-1,1,6,211,28
0,303,125,1,8,448,28
0,304,4575,1,5,302,1
0,305,5801,1,4,37,25
0,306,5208,1,6,332,28
0,307,2595,1,8,306,76
0,308,1439,1,2,176,9
0,310,5507,1,6,355,74
1,311,-1,1,8,282,76
0,312,152,1,8,448,6
1,313,1510,1,9,93,75
1,314,3844,1,9,276,6
0,315,3122,1,4,322,76
1,316,5291,1,8,101,75
0,317,-1,1,9,260,76
0,318,-1,1,2,260,76
0,319,-1,1,8,260,76
0,321,-1,1,9,266,76
0,320,3121,1,5,322,76
0,322,683,1,5,293,75
0,323,1956,1,8,301,76
0,324,1779,1,5,41,76
1,325,1286,1,6,231,61
0,326,5458,1,8,293,75
1,327,1990,1,8,108,75
1,328,1549,1,8,376,48
1,329,4980,1,8,231,70
1,330,-1,1,9,278,21
1,331,3512,1,8,394,41
1,332,5818,1,6,229,28
1,333,3285,1,6,74,35
0,334,3286,1,9,422,35
0,335,412,1,6,309,28
0,336,158,1,8,448,0
0,337,113,1,6,335,28
0,338,54,1,6,312,28
0,339,191,1,5,260,76
1,340,799,1,6,368,35
1,341,798,1,8,368,35
1,342,199,1,9,93,75
0,343,3283,1,9,309,76
0,344,3662,1,9,208,76
0,345,4864,1,6,302,28
0,346,234,1,6,350,28
0,347,5876,1,8,36,28
0,348,5194,1,6,207,28
1,250,5439,1,6,465,76
0,349,5184,1,6,207,28
1,350,-1,1,9,394,48
1,251,4044,1,8,74,35
0,351,6082,1,8,309,28
0,252,541,1,8,188,28
1,352,5952,1,6,72,35
1,353,3520,1,7,415,28
1,354,5071,1,6,394,48
0,356,5387,1,8,358,48
1,355,6115,1,6,231,39
0,357,359,1,6,20,28
0,358,3418,1,8,205,48
0,359,269,1,8,448,42
0,360,-1,1,8,205,17
0,361,4165,1,8,316,76
0,362,4566,1,8,302,28
0,363,1451,1,9,113,76
0,364,279,1,8,448,12
0,365,280,1,8,268,67
0,366,4784,1,8,188,77
0,367,287,1,8,448,42
0,368,1440,1,8,187,76
1,369,4881,1,7,414,76
0,370,4549,1,8,167,17
0,371,6726,1,8,167,19
0,372,315,1,8,269,77
0,373,3507,1,6,312,74
0,374,1130,1,8,23,72
0,375,332,1,8,448,76
0,376,332,1,8,448,76
0,377,4840,1,8,200,1
1,378,5647,1,8,231,9
0,379,-1,1,8,266,48
0,380,1618,1,6,51,66
0,381,1806,1,3,155,76
1,383,3467,1,8,389,35
0,382,578,1,8,206,6
0,384,2541,1,9,260,76
1,385,5331,1,11,414,48
0,386,1319,1,8,56,76
1,387,-1,1,9,93,75
0,388,3502,1,10,113,76
0,389,6641,1,3,125,76
0,390,-1,1,6,260,68
0,391,1223,1,8,312,64
0,392,4182,1,5,187,76
1,393,3119,1,9,464,76
1,394,1442,1,6,483,76
0,395,2276,1,9,23,40
0,396,2801,1,5,301,76
0,397,1668,1,0,113,31
1,398,455,1,8,373,12
0,399,1306,1,8,358,67
1,400,1477,1,11,414,76
1,401,1478,1,11,411,48
0,402,3770,1,7,138,76
0,403,-1,1,6,270,76
0,404,712,1,8,342,76
0,408,2832,1,8,188,52
0,409,595,1,5,330,76
0,405,1804,1,8,322,76
0,410,4429,1,5,0,75
0,411,2454,1,6,208,42
0,406,3063,1,8,188,6
0,407,739,1,3,293,76
0,412,3871,1,6,208,25
0,414,149,1,8,309,21
0,413,5831,1,5,322,76
1,415,5717,1,8,381,0
0,416,5691,1,8,187,76
1,417,-1,1,6,426,48
0,418,1861,1,5,293,75
0,419,3828,1,6,312,52
0,420,4515,1,5,490,76
0,421,815,1,7,113,76
0,422,1553,1,11,113,76
1,424,6200,1,10,403,75
0,423,-1,1,7,260,76
0,425,1494,1,8,260,48
1,426,2978,1,8,242,76
0,427,6173,1,8,4,35
0,429,2736,1,6,217,76
1,430,530,1,6,381,12
0,428,2149,1,6,352,52
0,431,-1,1,8,260,16
0,432,4444,1,4,268,64
0,433,4191,1,8,312,67
0,434,5239,1,8,188,75
0,435,6521,1,6,13,28
0,436,2159,1,6,309,17
0,437,4350,1,8,307,76
1,438,-1,1,9,97,75
0,439,5091,1,9,260,75
1,440,3082,1,6,275,76
1,441,6400,1,6,426,76
0,442,6640,1,8,260,76
0,443,1724,1,5,0,76
0,444,3498,1,5,293,76
0,445,-1,1,6,260,76
1,446,1999,1,8,248,76
1,447,1376,1,8,248,76
0,448,1501,1,8,260,76
1,449,-1,1,9,275,76
0,450,911,1,6,260,76
0,451,-1,1,6,260,76
0,452,5047,1,7,260,76
0,453,1680,1,8,490,9
0,454,2350,1,5,33,9
0,455,1763,1,5,293,76
0,456,5665,1,5,301,75
1,457,1944,1,8,485,76
0,458,6190,1,8,273,76
0,459,-1,1,8,260,76
1,460,568,1,6,482,76
0,461,3984,1,5,176,76
0,462,1262,1,5,178,76
0,463,3473,1,8,293,76
1,464,6396,1,8,247,76
0,465,2848,1,8,293,76
0,466,402,1,6,448,28
1,253,1606,1,8,394,52
0,467,1875,1,6,205,72
0,468,6554,1,9,311,28
0,469,449,1,5,268,75
0,470,448,1,8,448,76
0,471,448,1,8,448,76
0,476,-1,1,9,266,28
0,472,1905,1,0,113,76
0,473,4995,1,0,113,76
0,474,6229,1,0,113,76
0,475,6228,1,0,113,76
0,477,4432,1,8,188,19
0,478,4773,1,8,167,17
0,479,734,1,5,199,75
0,480,1952,1,6,309,17
0,481,5880,1,5,329,76
1,482,2729,1,6,376,70
0,483,973,1,9,294,76
0,484,821,1,5,329,60
0,485,629,1,6,188,12
0,486,4486,1,8,188,17
0,487,452,1,8,206,6
0,488,4645,1,6,358,28
0,489,6091,1,8,302,28
0,491,4834,1,8,189,67
0,490,4829,1,8,309,9
1,492,5340,1,6,284,76
0,493,3597,1,6,302,27
0,494,4477,1,6,205,17
0,495,21,1,6,19,28
0,496,6109,1,6,188,28
0,497,6523,1,6,338,48
0,498,6523,1,6,338,28
0,499,496,1,9,266,61
0,500,4698,1,6,269,19
0,501,5560,1,5,301,76
0,502,634,1,6,20,28
1,503,5889,1,6,386,70
1,504,2404,1,9,74,35
0,505,2827,1,5,322,76
0,506,2155,1,5,0,76
0,507,3898,1,10,113,31
0,508,3897,1,10,113,76
0,509,6300,1,4,490,76
0,510,83,1,4,176,76
1,511,637,1,11,414,18
0,512,433,1,8,302,28
0,513,359,1,6,20,48
0,514,6036,1,6,309,28
0,254,6226,1,9,304,75
0,515,1837,1,11,117,11
0,516,3777,1,8,51,11
0,517,1311,1,8,335,67
1,518,551,1,8,276,6
0,519,6078,1,6,36,28
1,520,-1,1,6,401,28
1,521,2116,1,6,400,28
0,522,554,1,6,448,76
0,523,5625,1,9,302,28
0,524,3400,1,6,315,28
0,525,767,1,9,113,76
1,526,450,1,9,399,9
1,527,4460,1,6,79,35
0,528,1326,1,8,327,75
0,529,1458,1,9,302,6
1,530,3359,1,8,458,76
1,531,5729,1,8,361,65
1,532,6071,1,8,230,48
0,533,4945,1,4,26,76
0,534,4475,1,8,205,17
0,535,5930,1,11,113,48
0,536,604,1,8,448,76
0,537,604,1,8,448,76
0,538,5613,1,6,188,28
0,539,5192,1,8,41,76
0,540,-1,1,9,269,48
0,541,5872,1,6,302,28
1,7772,-1,1,11,80,35
0,542,-1,1,8,260,76
1,543,768,1,8,228,0
1,544,274,1,8,228,67
0,545,210,1,6,309,28
0,255,6773,1,2,260,76
0,546,6584,1,4,341,76
0,547,1419,1,8,338,75
0,548,520,1,3,23,19
1,549,1519,1,8,248,76
0,572,4797,1,8,51,19
0,550,3036,1,6,301,76
0,551,3210,1,8,448,12
1,256,655,1,9,276,35
1,552,6341,1,11,414,48
0,553,2842,1,3,117,28
0,554,1174,1,6,312,19
0,555,163,1,6,188,17
1,556,5463,1,6,426,76
1,557,2597,1,8,395,44
1,558,6652,1,8,365,65
0,559,660,1,8,448,27
1,560,662,1,8,449,76
0,561,663,1,8,272,76
0,562,6079,1,6,188,29
0,563,6732,1,6,36,28
0,257,5335,1,8,356,9
1,564,2701,1,8,464,76
1,565,5980,1,6,240,76
0,566,684,1,8,448,76
1,567,5937,1,8,363,65
0,568,5451,1,4,217,76
0,569,2655,1,3,117,75
0,570,757,1,8,315,28
0,571,1627,1,6,309,29
0,573,4971,1,5,342,76
0,574,2563,1,4,217,76
0,575,5055,1,8,302,28
0,576,5182,1,6,311,28
1,577,1008,1,8,454,76
1,578,6675,1,6,375,11
1,579,5803,1,9,278,1
1,580,3174,1,10,403,76
0,581,5774,1,5,36,28
0,582,4747,1,8,260,76
0,583,469,1,6,23,47
0,584,2972,1,8,341,76
1,585,5841,1,8,464,76
0,586,1081,1,6,205,51
0,587,6496,1,6,309,28
0,588,3226,1,2,36,65
0,589,4893,1,8,273,76
0,590,5973,1,6,326,9
1,591,518,1,6,372,70
1,592,4441,1,9,394,35
0,593,-1,1,4,273,76
0,594,4041,1,6,302,19
0,595,5566,1,4,293,76
0,258,1148,1,6,208,76
1,596,1894,1,11,235,9
1,597,6742,1,8,74,35
0,598,2322,1,6,266,75
0,599,809,1,6,200,10
1,600,2824,1,6,469,76
0,601,-1,1,8,260,76
1,602,4139,1,8,464,1
0,603,1367,1,8,309,56
0,604,5437,1,9,260,75
1,605,-1,1,8,277,1
0,606,4400,1,4,18,76
0,607,4402,1,4,176,76
0,608,4403,1,4,26,76
0,609,1568,1,8,315,28
0,610,622,1,5,356,7
1,611,146,1,6,376,70
0,612,2870,1,5,33,76
1,613,6772,1,11,145,76
0,614,4235,1,9,312,29
0,615,5680,1,8,0,75
0,616,5349,1,4,56,76
0,617,744,1,8,268,68
0,618,5548,1,8,340,75
0,619,3089,1,8,490,76
1,620,2639,1,9,426,76
1,621,2393,1,6,442,76
1,622,3778,1,9,394,48
0,623,3267,1,8,313,28
0,624,5675,1,8,187,28
0,625,1569,1,8,309,28
0,626,-1,1,8,266,42
0,627,367,1,6,309,22
0,628,1869,1,6,314,28
0,629,760,1,8,448,76
0,630,760,1,8,448,76
0,631,760,1,8,448,76
1,635,2398,1,8,72,35
0,633,5758,1,6,302,28
0,634,3598,1,6,309,28
0,645,206,1,6,48,28
0,646,6252,1,6,48,28
0,647,5028,1,8,36,28
0,648,5028,1,6,36,48
0,649,5028,1,8,36,48
0,650,5027,1,6,36,48
0,651,5027,1,6,36,28
0,652,5027,1,6,36,48
0,653,5027,1,6,36,48
0,654,5516,1,8,309,28
0,655,6812,1,6,309,72
0,656,4537,1,8,205,72
0,657,946,1,5,301,19
1,658,-1,1,6,284,76
1,659,836,1,8,399,33
1,660,6583,1,8,97,75
0,661,4743,1,9,208,28
0,662,5526,1,6,188,64
1,663,6552,1,8,231,21
0,664,-1,1,8,266,28
0,666,2502,1,2,188,6
0,667,5913,1,10,141,1
1,665,1395,1,8,74,35
1,668,4088,1,9,375,70
0,669,3901,1,8,205,48
0,670,1412,1,6,207,71
1,671,-1,1,8,368,48
0,672,4448,1,2,334,9
0,673,2963,1,5,33,76
0,674,909,1,8,308,76
0,675,143,1,5,329,1
1,676,605,1,8,248,9
1,677,-1,1,6,93,28
0,678,6626,1,5,18,76
0,679,6625,1,5,18,76
0,680,4726,1,8,344,75
1,681,2570,1,8,110,75
0,682,1296,1,8,315,71
0,683,3061,1,8,176,76
1,684,3536,1,8,225,65
1,685,3099,1,8,225,65
